publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p817293,earthquake,2019-10-30T09:34:15.856Z,2019-10-30T09:36:48.230Z,175.2160339,-39.72950745,2.049936443,56.87272644,M,,LOCSAT,confirmed,manual,iasp91,28,19,12,0.179487899,98.39306641,0.280232562,0
2019p817285,earthquake,2019-10-30T09:30:38.762Z,2019-10-30T09:32:25.498Z,174.3748627,-40.21823883,2.553849294,71.04499817,M,,LOCSAT,confirmed,manual,iasp91,18,11,6,0.659196854,126.9265747,0.417945418,0
2019p817224,earthquake,2019-10-30T08:57:59.641Z,2019-10-30T09:03:20.331Z,174.4868317,-40.82778549,1.704504375,52.32575226,M,,LOCSAT,confirmed,manual,iasp91,20,13,2,0.322532684,175.7079468,0.204987505,0
2019p816455,earthquake,2019-10-30T02:07:25.686Z,2019-10-30T02:09:49.855Z,175.5940552,-40.85889435,1.679493481,17.28544426,M,,LOCSAT,confirmed,manual,iasp91,24,14,9,0.071131423,79.25390625,0.345122518,0
2019p815760,earthquake,2019-10-29T19:57:28.566Z,2019-10-29T20:03:58.435Z,176.5570221,-40.28474426,1.73320852,14.74145412,M,,LOCSAT,confirmed,manual,iasp91,20,14,7,0.062548943,137.9410553,0.424884701,0
2019p815410,earthquake,2019-10-29T16:50:28.131Z,2019-10-29T16:53:51.571Z,175.1878357,-40.50185394,1.521545222,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,12,7,0.049848057,124.1624146,0.637120485,0
2019p815195,earthquake,2019-10-29T14:56:06.171Z,2019-10-29T14:58:41.877Z,174.4720306,-40.66307068,1.759142848,48.13568878,M,,LOCSAT,confirmed,manual,iasp91,16,13,4,0.386763275,116.7523251,0.383837758,0
2019p815176,earthquake,2019-10-29T14:46:03.821Z,2019-10-29T14:47:17.144Z,174.9657288,-41.64316559,1.890790293,18.17987633,M,,LOCSAT,confirmed,manual,iasp91,16,10,4,0.229037926,238.3396454,0.211913765,0
2019p814902,earthquake,2019-10-29T12:20:02.724Z,2019-10-29T12:22:25.074Z,175.9046478,-40.54452896,1.249337575,24.12242889,M,,LOCSAT,confirmed,manual,iasp91,17,10,3,0.051577542,80.7477417,0.631444303,0
2019p814388,earthquake,2019-10-29T07:46:06.058Z,2019-10-29T07:48:42.704Z,174.237442,-41.6471405,1.855749613,14.21771145,M,,LOCSAT,confirmed,manual,iasp91,12,9,5,0.103319846,105.3435974,0.321643156,0
2019p813413,earthquake,2019-10-28T23:06:28.329Z,2019-10-28T23:16:02.398Z,175.0065002,-40.48005295,1.946321394,29.29422379,M,,LOCSAT,confirmed,manual,iasp91,22,15,8,0.168512434,193.2330246,0.615465857,0
2019p813248,earthquake,2019-10-28T21:39:02.690Z,2019-10-28T21:45:29.907Z,174.1715393,-41.64752197,2.644212337,14.90799904,M,,LOCSAT,confirmed,manual,iasp91,22,15,12,0.030411355,77.82015991,0.485238961,0
2019p813096,earthquake,2019-10-28T20:17:47.700Z,2019-10-28T21:16:46.896Z,176.4015045,-40.17879105,1.937667674,23.87483215,M,,LOCSAT,confirmed,manual,iasp91,24,16,8,0.118252344,48.70756531,0.337908506,0
2019p813017,earthquake,2019-10-28T19:35:58.799Z,2019-10-28T19:48:21.331Z,175.4226227,-40.88974762,1.303952153,19.68776131,M,,LOCSAT,confirmed,manual,iasp91,18,10,7,0.070508234,96.60203743,0.410744771,0
2019p812549,earthquake,2019-10-28T15:26:42.341Z,2019-10-28T15:30:43.248Z,176.5565491,-40.29457855,1.356006323,13.9706192,M,,LOCSAT,confirmed,manual,iasp91,22,14,5,0.04290399,100.409523,0.578671729,0
2019p812352,earthquake,2019-10-28T13:41:26.597Z,2019-10-28T13:44:55.471Z,176.6080475,-40.25874329,2.807719985,18.19155121,M,,LOCSAT,confirmed,manual,iasp91,41,28,25,0.022113904,69.54691315,0.660205891,0
2019p812302,earthquake,2019-10-28T13:15:01.164Z,2019-10-28T13:19:33.196Z,174.3549805,-41.68227386,1.49453001,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,11,6,0.124964327,150.7183838,0.859695732,0
2019p810366,earthquake,2019-10-27T20:03:09.073Z,2019-10-27T20:04:57.155Z,175.1414642,-41.22285461,1.90156474,21.42540932,M,,LOCSAT,confirmed,manual,iasp91,19,13,11,0.128692702,63.04971313,0.259745617,0
2019p810361,earthquake,2019-10-27T20:00:21.277Z,2019-10-27T20:02:26.420Z,176.3265991,-40.23387527,2.558717811,37.36924362,M,,LOCSAT,confirmed,manual,iasp91,27,18,27,0.138564453,55.42655182,0.366793157,0
2019p810200,earthquake,2019-10-27T18:34:48.983Z,2019-10-27T18:36:59.732Z,176.0356293,-40.85601044,1.236711423,18.25645065,M,,LOCSAT,confirmed,manual,iasp91,19,13,5,0.136835173,90.4752655,0.428037665,0
2019p810194,earthquake,2019-10-27T18:31:50.271Z,2019-10-27T18:35:06.738Z,174.6791229,-41.42971039,1.463203782,11.59163189,M,,LOCSAT,confirmed,manual,iasp91,21,14,6,0.145977408,197.657196,0.344724071,0
2019p810169,earthquake,2019-10-27T18:18:23.853Z,2019-10-27T18:27:19.223Z,175.221405,-39.96918869,1.839590862,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,4,0.280849874,109.8225403,0.492689405,0
2019p810082,earthquake,2019-10-27T17:32:01.661Z,2019-10-27T17:34:30.615Z,175.6920929,-40.89827347,1.177448583,18.25224495,M,,LOCSAT,confirmed,manual,iasp91,14,8,4,0.134179562,164.2531738,0.249308249,0
2019p809340,earthquake,2019-10-27T10:56:39.852Z,2019-10-27T11:01:20.384Z,174.2617798,-41.57471848,1.820077219,9.500984192,M,,LOCSAT,confirmed,manual,iasp91,24,17,7,0.129009098,101.740303,0.336946727,0
2019p809257,earthquake,2019-10-27T10:12:24.328Z,2019-10-27T10:16:22.668Z,174.7254944,-41.38076019,1.67444783,20.27114868,M,,LOCSAT,confirmed,manual,iasp91,21,12,4,0.112941988,149.5208511,0.358719766,0
2019p809069,earthquake,2019-10-27T08:32:02.551Z,2019-10-27T08:34:17.052Z,175.0688019,-40.12591171,1.864749056,17.94812012,M,,LOCSAT,confirmed,manual,iasp91,21,16,7,0.192708939,141.3417511,0.615944504,0
2019p808894,earthquake,2019-10-27T06:58:23.605Z,2019-10-27T06:59:50.063Z,174.4456024,-41.32618332,1.78066371,28.34282494,M,,LOCSAT,confirmed,manual,iasp91,19,11,6,0.172259972,115.5591049,0.381250929,0
2019p808125,earthquake,2019-10-27T00:09:12.182Z,2019-10-27T00:11:59.428Z,175.801712,-40.40647888,1.196494301,39.72460938,M,,LOCSAT,confirmed,manual,iasp91,12,8,4,0.196465731,150.0517559,0.396600727,0
2019p808076,earthquake,2019-10-26T23:42:59.024Z,2019-10-26T23:45:03.055Z,174.4455414,-41.46146774,1.97159497,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,10,6,0.281389564,138.8571548,0.213975561,0
