publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p799590,earthquake,2019-10-23T20:21:33.744Z,2019-10-23T20:25:04.592Z,174.0011597,-39.01872253,3.490812391,8.20685482,M,,LOCSAT,confirmed,manual,iasp91,35,24,16,0.07118947059,210.5671425,0.3319994753,0
2019p794211,earthquake,2019-10-21T20:35:48.371Z,2019-10-21T20:47:30.417Z,175.5474701,-38.11581421,2.470351082,139.758728,M,,LOCSAT,confirmed,manual,iasp91,16,11,4,1.240269065,272.578804,0.5555218565,0
2019p792186,earthquake,2019-10-21T02:36:43.251Z,2019-10-21T02:43:42.984Z,175.111618,-39.13673782,2.185511206,18.07698441,M,,LOCSAT,confirmed,manual,iasp91,19,12,13,0.2376294285,132.181839,0.2256871662,0
2019p791395,earthquake,2019-10-20T19:35:39.896Z,2019-10-20T20:22:29.009Z,173.9320831,-39.84972,2.455734209,189.7915802,M,,LOCSAT,confirmed,manual,iasp91,29,21,11,0.9509703517,174.4180565,0.5855579612,0
2019p790971,earthquake,2019-10-20T15:49:27.230Z,2019-10-20T15:51:57.997Z,174.0069275,-39.03674316,1.626370042,9.914897919,M,,LOCSAT,confirmed,manual,iasp91,21,13,5,0.05775175989,206.9209976,0.3073936791,0
2019p790964,earthquake,2019-10-20T15:45:47.619Z,2019-10-20T16:19:46.512Z,174.009079,-39.02510071,3.500396312,8.887267113,M,,LOCSAT,confirmed,manual,iasp91,48,37,76,0.06242315099,208.2122803,0.3218544634,0
2019p790278,earthquake,2019-10-20T09:40:27.567Z,2019-10-20T09:43:49.347Z,174.1535645,-40.40942383,2.577665371,71.8556366,M,,LOCSAT,confirmed,manual,iasp91,33,26,18,0.4298240244,96.97103882,0.3994192124,0
2019p787986,earthquake,2019-10-19T13:19:16.791Z,2019-10-19T13:22:22.891Z,175.1787415,-39.10837555,1.362942412,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,35,20,12,0.2049770504,105.477128,0.3924391367,0
2019p787334,earthquake,2019-10-19T07:31:49.941Z,2019-10-19T07:35:00.259Z,173.6923828,-39.94175339,2.283286089,139.149704,M,,LOCSAT,confirmed,manual,iasp91,12,7,5,1.2525208,267.1589508,0.3301792876,0
2019p785611,earthquake,2019-10-18T16:13:54.178Z,2019-10-18T16:18:39.066Z,174.078537,-39.68218231,2.506082728,146.1828766,M,,LOCSAT,confirmed,manual,iasp91,17,11,1,0.7032965422,230.6150894,0.3919275298,0
2019p785285,earthquake,2019-10-18T13:20:02.417Z,2019-10-18T13:24:14.342Z,173.9311066,-39.88214874,2.571847842,217.8061371,M,,LOCSAT,confirmed,manual,iasp91,22,14,5,0.8220266104,172.2701378,0.5675188776,0
2019p783090,earthquake,2019-10-17T17:50:25.655Z,2019-10-17T17:52:54.183Z,173.8623352,-39.30599594,1.486965017,9.857914925,M,,LOCSAT,confirmed,manual,iasp91,11,7,4,0.03821537644,183.8854504,0.1707402012,0
2019p780763,earthquake,2019-10-16T21:11:03.340Z,2019-10-16T21:15:17.986Z,175.1683655,-39.09225845,1.541289153,12.74812412,M,,LOCSAT,confirmed,manual,iasp91,17,13,3,0.210721314,107.2975006,0.2404411793,0
2019p780240,earthquake,2019-10-16T16:31:55.384Z,2019-10-16T16:41:49.513Z,174.239151,-39.55866623,2.633319118,202.8934479,M,,LOCSAT,confirmed,manual,iasp91,27,20,6,0.1602413207,101.1091003,0.5006286782,0
2019p777519,earthquake,2019-10-15T16:22:16.294Z,2019-10-15T16:39:11.939Z,174.4456787,-39.46416092,2.30683955,127.026413,M,,LOCSAT,confirmed,manual,iasp91,25,21,7,0.4172208309,169.0697594,0.4775765916,0
2019p776778,earthquake,2019-10-15T09:47:34.279Z,2019-10-15T10:01:05.381Z,174.8869934,-39.32091522,1.948319902,20.09667778,M,,LOCSAT,confirmed,manual,iasp91,16,9,3,0.2202396095,83.49050903,0.3373487983,0
2019p773039,earthquake,2019-10-14T00:35:30.485Z,2019-10-14T00:39:31.909Z,174.4959412,-40.08829117,2.652564137,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,42,35,28,0.5028064847,112.5504456,0.638548302,0
2019p772734,earthquake,2019-10-13T21:53:08.461Z,2019-10-13T22:25:24.434Z,173.5532837,-39.69835663,2.332981538,11.44861889,M,,LOCSAT,confirmed,manual,iasp91,17,12,6,0.538765192,187.1154251,0.324743512,0
2019p772199,earthquake,2019-10-13T17:09:02.601Z,2019-10-13T17:13:01.943Z,175.1017761,-39.28805542,1.858157497,19.65640259,M,,LOCSAT,confirmed,manual,iasp91,36,21,10,0.1898231208,183.1000061,0.3776178377,0
2019p771408,earthquake,2019-10-13T10:06:28.362Z,2019-10-13T10:13:26.404Z,174.8910065,-39.372509,1.860493887,17.38767052,M,,LOCSAT,confirmed,manual,iasp91,18,14,12,0.2683543265,87.61915588,0.2647288818,0
2019p770754,earthquake,2019-10-13T04:18:00.926Z,2019-10-13T04:35:22.350Z,173.6737213,-39.40036392,2.294497809,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,18,12,0.1489270777,195.1991768,0.5884083955,0
2019p770626,earthquake,2019-10-13T03:09:45.616Z,2019-10-13T03:22:26.354Z,174.1955872,-39.60411453,2.200593089,129.9351349,M,,LOCSAT,confirmed,manual,iasp91,27,22,13,0.3397855759,109.8171844,0.3960182551,0
2019p770042,earthquake,2019-10-12T21:58:39.020Z,2019-10-12T22:02:16.434Z,175.0297852,-39.29110718,2.818083702,117.837883,M,,LOCSAT,confirmed,manual,iasp91,49,37,55,0.2456887215,66.42892456,0.3396759676,0
2019p769894,earthquake,2019-10-12T20:39:33.620Z,2019-10-12T20:43:48.362Z,174.3887482,-39.62055969,2.343401395,114.8859253,M,,LOCSAT,confirmed,manual,iasp91,30,20,7,0.3301205635,89.04890442,0.4622746994,0
2019p769472,earthquake,2019-10-12T16:54:45.327Z,2019-10-12T17:07:10.777Z,174.9092102,-39.22387314,1.523148625,21.11488152,M,,LOCSAT,confirmed,manual,iasp91,17,10,6,0.153660506,199.8440094,0.30905715,0
2019p769309,earthquake,2019-10-12T15:28:18.407Z,2019-10-12T15:31:03.649Z,173.9382935,-40.1893959,2.076467476,97.23245239,M,,LOCSAT,confirmed,manual,iasp91,22,13,10,0.6117945313,123.222744,0.4607404548,0
2019p768961,earthquake,2019-10-12T12:22:21.783Z,2019-10-12T12:26:05.979Z,174.9578857,-39.03948975,2.335560972,205.2263794,M,,LOCSAT,confirmed,manual,iasp91,29,21,25,0.1768413782,93.16604614,0.2550570997,0
2019p768788,earthquake,2019-10-12T10:50:46.660Z,2019-10-12T11:02:32.867Z,174.7876129,-39.00911331,1.448225589,19.80563354,M,,LOCSAT,confirmed,manual,iasp91,19,14,6,0.1172829792,112.8942447,0.3021327076,0
2019p768598,earthquake,2019-10-12T09:09:22.080Z,2019-10-12T09:19:52.258Z,175.1232147,-39.23942566,2.490303365,19.0273056,M,,LOCSAT,confirmed,manual,iasp91,39,32,29,0.1802545488,51.90518188,0.3085545948,0
2019p767400,earthquake,2019-10-11T22:30:54.539Z,2019-10-11T22:43:07.296Z,174.6140747,-38.9382782,1.98597517,20.25238609,M,,LOCSAT,confirmed,manual,iasp91,23,16,7,0.2171791494,141.8496361,0.3087791843,0
2019p766668,earthquake,2019-10-11T16:00:43.643Z,2019-10-11T16:04:04.885Z,174.3432465,-39.5260849,1.880366359,124.6459198,M,,LOCSAT,confirmed,manual,iasp91,18,13,6,0.3191229403,128.9530487,0.4763090413,0
2019p764535,earthquake,2019-10-10T21:04:32.076Z,2019-10-10T21:35:08.046Z,174.1013336,-38.984375,2.20922238,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,16,6,0.08092683554,199.0155411,0.3471590143,0
2019p763459,earthquake,2019-10-10T11:31:24.777Z,2019-10-10T11:33:26.333Z,174.4459381,-39.91439819,2.256947218,78.49560547,M,,LOCSAT,confirmed,manual,iasp91,17,11,5,0.4450759292,120.9707794,0.5469320486,0
2019p761462,earthquake,2019-10-09T17:47:10.799Z,2019-10-09T18:05:42.378Z,174.0935974,-38.98995209,1.912117291,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,15,6,0.198310107,199.3302765,0.2949969297,0
2019p760613,earthquake,2019-10-09T10:14:46.404Z,2019-10-09T10:19:45.257Z,174.4211731,-39.41701889,2.553434128,140.460434,M,,LOCSAT,confirmed,manual,iasp91,33,30,29,0.04543757811,71.9962616,0.5460142549,0
2019p758087,earthquake,2019-10-08T11:49:00.728Z,2019-10-08T11:56:38.260Z,174.6303253,-39.1145668,2.543376158,19.38377571,M,,LOCSAT,confirmed,manual,iasp91,49,43,35,0.1001476347,97.36246109,0.4668509897,0
2019p757675,earthquake,2019-10-08T08:09:34.868Z,2019-10-08T08:38:22.546Z,175.0201111,-39.08501816,1.524553065,12.08104229,M,,LOCSAT,confirmed,manual,iasp91,24,15,8,0.2073383778,128.3125458,0.2326003684,0
2019p754733,earthquake,2019-10-07T06:01:46.542Z,2019-10-07T06:03:53.983Z,174.9001923,-39.27477264,2.204676971,18.64380074,M,,LOCSAT,confirmed,manual,iasp91,18,16,11,0.1862726361,100.4934921,0.180081975,0
2019p753171,earthquake,2019-10-06T16:10:13.238Z,2019-10-06T16:14:21.113Z,173.8964386,-39.29586411,1.302624278,21.5204277,M,,LOCSAT,confirmed,manual,iasp91,16,9,4,0.03575155139,129.4663239,0.2891235915,0
2019p752478,earthquake,2019-10-06T10:00:38.598Z,2019-10-06T10:16:15.901Z,175.0040131,-39.02534866,4.417586131,212.8594208,M,,LOCSAT,confirmed,manual,iasp91,54,37,124,0.2151900083,80.40170288,0.4622566761,0
2019p752188,earthquake,2019-10-06T07:25:48.389Z,2019-10-06T07:28:49.247Z,174.3376465,-39.49765778,1.956198192,123.8717728,M,,LOCSAT,confirmed,manual,iasp91,16,10,6,0.2941457927,191.5952377,0.5269358398,0
2019p752017,earthquake,2019-10-06T05:55:02.580Z,2019-10-06T05:58:58.977Z,174.927536,-39.11712265,2.390741262,200.6901855,M,,LOCSAT,confirmed,manual,iasp91,28,21,13,0.1317245215,157.2471542,0.5923278778,0
2019p751708,earthquake,2019-10-06T03:10:08.380Z,2019-10-06T03:20:46.107Z,174.678894,-39.2610321,2.551239669,20.46586609,M,,LOCSAT,confirmed,manual,iasp91,54,42,36,0.1498526633,72.62394714,0.3011167915,0
2019p750673,earthquake,2019-10-05T17:58:47.782Z,2019-10-05T18:05:39.420Z,174.3711243,-39.47123718,1.807225118,125.8849411,M,,LOCSAT,confirmed,manual,iasp91,20,16,6,0.0268088188,79.19303894,0.441127918,0
2019p750299,earthquake,2019-10-05T14:40:26.213Z,2019-10-05T14:54:59.181Z,174.3032379,-39.48971176,1.906701222,120.3212891,M,,LOCSAT,confirmed,manual,iasp91,26,20,6,0.08242771775,86.04467773,0.4885615319,0
2019p750257,earthquake,2019-10-05T14:17:22.156Z,2019-10-05T14:32:10.722Z,174.4703522,-39.36920547,1.737373553,127.8138199,M,,LOCSAT,confirmed,manual,iasp91,14,10,6,0.3065974116,154.4528656,0.4151664173,0
2019p749550,earthquake,2019-10-05T08:00:20.680Z,2019-10-31T22:16:06.934Z,174.9468384,-39.0018425,2.240580282,197.3471375,M,,LOCSAT,confirmed,manual,iasp91,54,37,13,0.3884976804,104.0021973,1.064613092,0
2019p749380,earthquake,2019-10-05T06:30:02.479Z,2019-10-31T22:04:03.313Z,174.8185883,-39.16391754,2.890617431,191.5125885,M,,LOCSAT,confirmed,manual,iasp91,28,17,6,0.5712456107,213.2351456,0.6807478294,0
2019p749305,earthquake,2019-10-05T05:50:24.821Z,2019-10-31T21:19:35.402Z,174.1889343,-39.64641953,2.777312436,188.0405884,M,,LOCSAT,confirmed,manual,iasp91,37,28,11,0.3048114479,87.30091858,0.5352629938,0
2019p748302,earthquake,2019-10-04T20:55:39.570Z,2019-10-04T20:58:17.710Z,174.1608734,-40.09542465,2.36299764,105.1047974,M,,LOCSAT,confirmed,manual,iasp91,21,14,6,0.7155358791,103.0203552,0.3641014015,0
2019p745644,earthquake,2019-10-03T21:19:37.845Z,2019-10-03T21:25:34.083Z,173.5915527,-40.12475586,2.43168562,171.85672,M,,LOCSAT,confirmed,manual,iasp91,31,24,11,0.7216033936,134.3499861,0.3989563011,0
2019p744247,earthquake,2019-10-03T08:55:26.631Z,2019-10-03T09:04:57.830Z,174.9459686,-39.30419922,1.511562973,22.14663315,M,,LOCSAT,confirmed,manual,iasp91,15,12,4,0.2312607765,144.7762604,0.3566029149,0
2019p741777,earthquake,2019-10-02T10:59:00.785Z,2019-10-02T11:02:59.674Z,174.3127594,-39.48022842,2.503688878,225.605896,M,,LOCSAT,confirmed,manual,iasp91,24,14,6,0.5875035524,215.2409439,0.4942118203,0
2019p741539,earthquake,2019-10-02T08:52:15.757Z,2019-10-02T08:57:06.564Z,173.554184,-40.21130753,3.268216287,179.6376801,M,,LOCSAT,confirmed,manual,iasp91,37,33,26,0.6529442668,130.4212961,0.4219334546,0
2019p740850,earthquake,2019-10-02T02:45:00.251Z,2019-10-02T02:58:15.559Z,174.0945587,-39.70740891,2.381304946,180.0934143,M,,LOCSAT,confirmed,manual,iasp91,19,12,4,0.688698709,202.0020065,0.5592847529,0
2019p740234,earthquake,2019-10-01T21:16:48.444Z,2019-10-01T21:42:23.648Z,174.5122223,-39.51058578,2.618760776,126.8216553,M,,LOCSAT,confirmed,manual,iasp91,48,35,18,0.09857172519,67.14414978,0.7364428839,0
2019p738017,earthquake,2019-10-01T01:35:59.356Z,2019-10-01T01:48:14.148Z,175.0996094,-39.2228241,1.741063779,123.8994217,M,,LOCSAT,confirmed,manual,iasp91,13,11,10,0.2027591169,129.8960266,0.4846856236,0
2019p737264,earthquake,2019-09-30T18:54:42.282Z,2019-09-30T19:13:58.931Z,174.125885,-39.75278091,1.798458792,116.507225,M,,LOCSAT,confirmed,manual,iasp91,24,17,1,0.7961472273,169.9457245,0.6199001699,0
