publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p789285,earthquake,2019-10-20T00:51:17.552Z,2019-10-20T00:57:15.029Z,171.9463654,-42.94229507,2.390113406,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,8,0.2781002223,54.59759521,0.2820920664,0
2019p787762,earthquake,2019-10-19T11:19:57.872Z,2019-10-19T11:22:17.824Z,172.7967377,-43.47400284,1.927923199,10.68949413,M,,LOCSAT,confirmed,manual,iasp91,25,17,4,0.05781977996,115.1131344,0.2022774221,0
2019p787456,earthquake,2019-10-19T08:36:39.974Z,2019-10-19T08:40:40.308Z,173.1293945,-42.27610779,1.824055932,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,11,4,0.2106632888,96.60835266,0.4588002599,0
2019p787424,earthquake,2019-10-19T08:19:59.334Z,2019-10-19T08:24:24.479Z,172.8090363,-43.45883179,1.865040728,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,16,3,0.07417584956,126.8934803,0.3159692713,0
2019p787273,earthquake,2019-10-19T06:59:28.411Z,2019-10-19T07:01:50.059Z,173.0286102,-43.16426849,2.523616401,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,27,18,10,0.1968609393,150.3541813,0.5360618049,0
2019p785857,earthquake,2019-10-18T18:24:40.128Z,2019-10-18T18:32:35.173Z,173.1607513,-42.48309708,1.994291697,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,13,5,0.247500211,83.99796295,0.492737558,0
2019p783000,earthquake,2019-10-17T17:02:36.979Z,2019-10-17T17:11:06.247Z,173.6705933,-43.40265656,2.722398454,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,39,34,11,0.5477488041,224.1821184,0.5637840786,0
2019p782501,earthquake,2019-10-17T12:37:00.918Z,2019-10-17T12:40:15.366Z,172.7631531,-43.53170013,2.168148596,5.201070309,M,,LOCSAT,confirmed,manual,iasp91,40,31,6,0.03393729404,112.2902832,0.2277189672,0
2019p781357,earthquake,2019-10-17T02:27:19.584Z,2019-10-17T02:32:32.108Z,173.2538452,-42.51259995,2.90498385,7.105310917,M,,LOCSAT,confirmed,manual,iasp91,24,14,7,0.1824571192,102.2181396,0.4000054798,0
2019p781301,earthquake,2019-10-17T01:57:39.112Z,2019-10-17T02:00:18.802Z,173.8851929,-42.28171539,2.017927647,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,12,3,0.2896140218,199.5601349,0.5061897769,0
