publicid,TotalCount,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9
2019p792154,2,0,0,2,0,0,0,0,0,0
2019p791471,5,0,0,0,5,0,0,0,0,0
2019p791239,3,0,0,3,0,0,0,0,0,0
2019p791181,3,0,0,1,2,0,0,0,0,0
2019p791115,2,0,0,2,0,0,0,0,0,0
2019p791069,4,0,0,2,1,1,0,0,0,0
2019p790980,22,0,0,9,12,0,0,0,1,0
2019p790067,2,0,0,1,1,0,0,0,0,0
2019p790017,2,0,0,2,0,0,0,0,0,0
2019p789816,2,0,0,1,0,0,0,0,1,0
2019p788670,4,0,0,2,2,0,0,0,0,0
2019p788454,8,0,0,4,2,2,0,0,0,0
2019p788426,42,0,0,19,20,3,0,0,0,0
2019p787272,2,0,0,1,1,0,0,0,0,0
2019p784698,1,0,0,1,0,0,0,0,0,0
2019p784551,1,0,0,1,0,0,0,0,0,0
2019p783407,2,0,0,0,1,0,0,0,1,0
2019p782949,1,0,0,1,0,0,0,0,0,0
2019p782155,1,0,0,1,0,0,0,0,0,0
2019p781818,1,0,0,1,0,0,0,0,0,0
2019p781777,1,0,0,1,0,0,0,0,0,0
2019p781261,1,0,0,0,0,0,0,0,1,0
2019p780914,2,0,0,2,0,0,0,0,0,0
2019p780588,1,0,0,1,0,0,0,0,0,0
2019p778670,1,0,0,0,0,0,0,0,1,0
2019p777923,1,0,0,1,0,0,0,0,0,0
2019p776852,1,0,0,1,0,0,0,0,0,0
2019p776291,3,0,0,3,0,0,0,0,0,0
2019p776132,1,0,0,1,0,0,0,0,0,0
2019p776059,1,0,0,1,0,0,0,0,0,0
2019p774291,1,0,0,0,1,0,0,0,0,0
2019p774039,1,0,0,1,0,0,0,0,0,0
2019p773818,1,0,0,1,0,0,0,0,0,0
2019p773754,2,0,0,2,0,0,0,0,0,0
2019p773233,183,0,0,112,67,4,0,0,0,0
2019p772957,1,0,0,1,0,0,0,0,0,0
2019p772941,4,0,0,4,0,0,0,0,0,0
2019p772928,20,0,0,15,4,1,0,0,0,0
2019p772905,56,0,0,42,13,1,0,0,0,0
2019p772903,56,0,0,42,13,1,0,0,0,0
2019p772896,56,0,0,42,13,1,0,0,0,0
2019p772050,1,0,0,1,0,0,0,0,0,0
2019p771853,1,0,0,1,0,0,0,0,0,0
2019p771841,1,0,0,1,0,0,0,0,0,0
2019p771490,1,0,0,1,0,0,0,0,0,0
2019p771256,2,0,0,2,0,0,0,0,0,0
2019p770961,1,0,0,1,0,0,0,0,0,0
2019p770512,1,0,0,1,0,0,0,0,0,0
2019p770510,1,0,0,1,0,0,0,0,0,0
2019p770148,1,0,0,1,0,0,0,0,0,0
2019p768570,1,0,0,1,0,0,0,0,0,0
2019p768531,1,0,0,1,0,0,0,0,0,0
2019p768524,4,0,0,4,0,0,0,0,0,0
2019p768333,1,0,0,1,0,0,0,0,0,0
2019p767517,2,0,0,2,0,0,0,0,0,0
2019p766476,1,0,0,0,0,1,0,0,0,0
2019p766460,1,0,0,0,0,1,0,0,0,0
