publicid,longitude,latitude,total_reports,mmi
2019p811674,176.973266601562,-37.9330444335938,6,5
2019p811674,176.423950195312,-37.9000854492188,1,3
2019p811674,176.984252929688,-37.9385375976562,2,4
2019p811674,176.984252929688,-37.9660034179688,6,3
2019p811674,176.951293945312,-37.9440307617188,1,3
2019p811674,176.984252929688,-37.9495239257812,4,4
2019p811674,176.973266601562,-37.9385375976562,3,3
2019p811668,176.984252929688,-37.9550170898438,22,4
2019p811668,176.885375976562,-37.9550170898438,1,3
2019p811668,176.995239257812,-37.9550170898438,7,4
2019p811668,176.863403320312,-37.9275512695312,1,4
2019p811668,177.050170898438,-37.9660034179688,3,4
2019p811668,176.863403320312,-37.9165649414062,1,4
2019p811668,176.830444335938,-37.9824829101562,3,3
2019p811668,177.039184570312,-37.9660034179688,3,4
2019p811668,176.841430664062,-37.9385375976562,1,6
2019p811668,176.907348632812,-37.9989624023438,1,3
2019p811668,177.094116210938,-37.9824829101562,1,3
2019p811668,176.995239257812,-37.9605102539062,7,4
2019p811668,176.885375976562,-37.9989624023438,1,4
2019p811668,176.885375976562,-37.9769897460938,1,4
2019p811668,176.995239257812,-38.0154418945312,1,4
2019p811668,176.995239257812,-37.9660034179688,2,4
2019p811668,176.940307617188,-37.9330444335938,2,3
2019p811668,176.918334960938,-37.9714965820312,1,3
2019p811668,176.852416992188,-37.9220581054688,1,3
2019p811668,176.896362304688,-37.9385375976562,1,3
2019p811668,176.830444335938,-37.9714965820312,1,3
2019p811668,177.017211914062,-37.9550170898438,6,5
2019p811668,177.072143554688,-38.0099487304688,1,3
2019p811668,177.006225585938,-37.9495239257812,3,4
2019p811668,176.885375976562,-37.9440307617188,1,3
2019p811668,176.973266601562,-37.9660034179688,5,4
2019p811668,176.962280273438,-37.9660034179688,7,5
2019p811668,177.006225585938,-37.9605102539062,10,4
2019p811668,176.973266601562,-37.9714965820312,5,4
2019p811668,176.962280273438,-37.9605102539062,15,4
2019p811668,168.656616210938,-45.0302124023438,2,7
2019p811668,176.907348632812,-38.0099487304688,1,3
2019p811668,177.006225585938,-37.9550170898438,2,4
2019p811668,176.819458007812,-37.9440307617188,3,4
2019p811668,177.028198242188,-37.9605102539062,5,5
2019p811668,176.995239257812,-38.0538940429688,1,4
2019p811668,176.863403320312,-37.9220581054688,2,4
2019p811668,176.852416992188,-37.9110717773438,1,4
2019p811668,176.830444335938,-37.9769897460938,2,4
2019p811668,176.929321289062,-37.9385375976562,2,3
2019p811668,176.874389648438,-37.9110717773438,3,4
2019p811668,177.072143554688,-38.0264282226562,1,4
2019p811668,175.457153320312,-37.9769897460938,1,3
2019p811668,176.995239257812,-37.9495239257812,4,3
2019p811668,176.116333007812,-37.6968383789062,1,3
2019p811668,176.841430664062,-38.0209350585938,1,3
2019p811668,176.742553710938,-38.0264282226562,1,4
2019p811668,176.984252929688,-37.9714965820312,3,4
2019p811668,176.984252929688,-37.9605102539062,14,4
2019p811668,176.819458007812,-37.9824829101562,1,4
2019p811668,177.083129882812,-37.9769897460938,3,3
2019p811668,176.973266601562,-37.9605102539062,19,4
2019p811668,176.973266601562,-37.9330444335938,8,5
2019p811668,176.423950195312,-37.9000854492188,1,3
2019p811668,176.984252929688,-37.9385375976562,1,3
2019p811668,176.984252929688,-37.9660034179688,11,4
2019p811668,176.951293945312,-37.9440307617188,1,3
2019p811668,176.984252929688,-37.9495239257812,9,4
2019p811668,176.973266601562,-37.9385375976562,3,3
2019p811668,176.918334960938,-37.9330444335938,1,4
2019p811668,177.050170898438,-37.9714965820312,1,4
2019p811668,176.907348632812,-37.9330444335938,1,3
2019p811668,176.852416992188,-38.0209350585938,1,3
2019p811668,177.006225585938,-37.9660034179688,11,4
2019p811668,176.907348632812,-39.4821166992188,1,3
2019p811668,176.852416992188,-37.9330444335938,1,3
2019p811668,176.929321289062,-37.9714965820312,1,3
2019p811496,176.973266601562,-37.9605102539062,1,3
2019p811496,177.050170898438,-37.9714965820312,1,3
2019p811464,176.984252929688,-37.9385375976562,2,3
2019p811464,176.995239257812,-37.9605102539062,1,4
2019p811464,176.995239257812,-37.9495239257812,1,3
2019p811412,176.984252929688,-37.9550170898438,3,3
2019p811412,176.962280273438,-37.9605102539062,2,3
2019p811412,173.270874023438,-41.2948608398438,1,3
2019p811412,177.006225585938,-37.9550170898438,1,3
2019p811412,176.863403320312,-37.9275512695312,2,3
2019p811412,177.050170898438,-37.9660034179688,1,3
2019p811412,173.853149414062,-39.4546508789062,1,3
2019p811412,177.017211914062,-37.9550170898438,1,3
2019p811412,176.874389648438,-37.9110717773438,1,3
2019p811412,177.006225585938,-37.9495239257812,1,4
2019p811412,176.951293945312,-37.9769897460938,1,3
2019p811412,176.841430664062,-37.9330444335938,1,3
2019p811412,176.995239257812,-37.9605102539062,2,4
2019p811412,176.995239257812,-37.9495239257812,1,3
2019p811412,176.973266601562,-37.9660034179688,1,3
2019p811412,176.841430664062,-38.0209350585938,1,3
2019p811412,177.006225585938,-37.9605102539062,3,3
2019p811412,176.819458007812,-37.9824829101562,1,3
2019p811412,176.819458007812,-37.9714965820312,2,3
2019p811412,176.995239257812,-37.9660034179688,1,3
2019p811412,176.973266601562,-37.9605102539062,1,3
2019p811412,176.973266601562,-37.9330444335938,1,3
2019p811412,176.984252929688,-37.9495239257812,1,3
2019p811412,176.973266601562,-37.9385375976562,1,3
2019p811388,176.984252929688,-37.9550170898438,5,3
2019p811388,177.050170898438,-37.9660034179688,2,3
2019p811388,176.995239257812,-37.9550170898438,3,3
2019p811388,176.863403320312,-37.9275512695312,1,3
2019p811388,176.863403320312,-37.9165649414062,1,4
2019p811388,176.841430664062,-38.0154418945312,1,3
2019p811388,176.775512695312,-37.8945922851562,1,3
2019p811388,176.874389648438,-37.9934692382812,3,3
2019p811388,176.830444335938,-37.9824829101562,2,3
2019p811388,173.853149414062,-39.4546508789062,1,3
2019p811388,177.039184570312,-37.9660034179688,4,3
2019p811388,176.841430664062,-37.9385375976562,1,5
2019p811388,176.995239257812,-37.9605102539062,12,4
2019p811388,176.841430664062,-37.9055786132812,1,4
2019p811388,176.819458007812,-37.9714965820312,2,3
2019p811388,176.995239257812,-37.9660034179688,3,4
2019p811388,176.940307617188,-37.9330444335938,1,4
2019p811388,176.984252929688,-37.9385375976562,3,3
2019p811388,176.984252929688,-37.9660034179688,1,3
2019p811388,176.907348632812,-37.9440307617188,1,3
2019p811388,176.918334960938,-37.9714965820312,1,3
2019p811388,176.984252929688,-37.9495239257812,5,5
2019p811388,176.643676757812,-37.8506469726562,1,3
2019p811388,176.973266601562,-37.9385375976562,1,4
2019p811388,177.017211914062,-37.9550170898438,6,5
2019p811388,177.006225585938,-37.9495239257812,9,4
2019p811388,177.050170898438,-37.9714965820312,1,3
2019p811388,176.863403320312,-37.9110717773438,1,3
2019p811388,176.885375976562,-37.9440307617188,5,3
2019p811388,176.973266601562,-37.9660034179688,6,3
2019p811388,177.083129882812,-38.0429077148438,1,3
2019p811388,176.962280273438,-37.9660034179688,1,3
2019p811388,177.006225585938,-37.9660034179688,1,3
2019p811388,177.006225585938,-37.9605102539062,18,3
2019p811388,176.973266601562,-37.9714965820312,1,3
2019p811388,176.962280273438,-37.9605102539062,2,3
2019p811388,177.006225585938,-37.9550170898438,2,3
2019p811388,177.028198242188,-37.9605102539062,4,3
2019p811388,176.863403320312,-37.9220581054688,1,3
2019p811388,176.984252929688,-37.9330444335938,1,3
2019p811388,170.491333007812,-45.9146118164062,1,6
2019p811388,176.830444335938,-37.9769897460938,2,3
2019p811388,176.874389648438,-37.9110717773438,3,4
2019p811388,176.995239257812,-37.9495239257812,1,3
2019p811388,176.841430664062,-37.9330444335938,1,3
2019p811388,176.841430664062,-38.0209350585938,1,3
2019p811388,176.984252929688,-37.9605102539062,2,3
2019p811388,176.962280273438,-37.9330444335938,1,3
2019p811388,176.753540039062,-37.8890991210938,1,3
2019p811388,176.973266601562,-37.9605102539062,5,3
2019p811388,176.973266601562,-37.9330444335938,10,5
2019p811385,176.984252929688,-37.9550170898438,6,4
2019p811385,176.995239257812,-37.9550170898438,4,3
2019p811385,177.050170898438,-37.9660034179688,2,3
2019p811385,176.863403320312,-37.9165649414062,1,4
2019p811385,177.006225585938,-37.9440307617188,1,4
2019p811385,176.841430664062,-38.0154418945312,1,3
2019p811385,176.775512695312,-37.8945922851562,1,3
2019p811385,176.874389648438,-37.9934692382812,3,3
2019p811385,176.830444335938,-37.9824829101562,2,3
2019p811385,177.039184570312,-37.9660034179688,4,3
2019p811385,176.841430664062,-37.9385375976562,1,5
2019p811385,176.995239257812,-37.9605102539062,10,4
2019p811385,176.841430664062,-37.9055786132812,1,4
2019p811385,176.819458007812,-37.9714965820312,2,3
2019p811385,176.995239257812,-37.9660034179688,2,4
2019p811385,176.973266601562,-37.9605102539062,6,4
2019p811385,176.940307617188,-37.9330444335938,1,4
2019p811385,176.973266601562,-37.9330444335938,13,5
2019p811385,176.984252929688,-37.9385375976562,3,3
2019p811385,176.984252929688,-37.9660034179688,1,3
2019p811385,176.907348632812,-37.9440307617188,1,3
2019p811385,176.918334960938,-37.9714965820312,1,3
2019p811385,176.984252929688,-37.9495239257812,4,5
2019p811385,176.643676757812,-37.8506469726562,1,3
2019p811385,176.973266601562,-37.9385375976562,1,4
2019p811385,177.017211914062,-37.9550170898438,6,5
2019p811385,177.006225585938,-37.9495239257812,9,4
2019p811385,177.050170898438,-37.9714965820312,1,3
2019p811385,176.863403320312,-37.9110717773438,1,3
2019p811385,176.885375976562,-37.9440307617188,5,3
2019p811385,176.973266601562,-37.9660034179688,6,3
2019p811385,176.962280273438,-37.9660034179688,2,3
2019p811385,177.083129882812,-38.0429077148438,1,3
2019p811385,177.006225585938,-37.9660034179688,1,3
2019p811385,177.006225585938,-37.9605102539062,17,3
2019p811385,176.973266601562,-37.9714965820312,2,3
2019p811385,176.962280273438,-37.9605102539062,1,3
2019p811385,177.006225585938,-37.9550170898438,2,3
2019p811385,177.028198242188,-37.9605102539062,4,3
2019p811385,176.863403320312,-37.9220581054688,1,3
2019p811385,176.984252929688,-37.9330444335938,1,3
2019p811385,170.491333007812,-45.9146118164062,1,6
2019p811385,176.830444335938,-37.9769897460938,2,3
2019p811385,176.874389648438,-37.9110717773438,3,4
2019p811385,176.995239257812,-37.9495239257812,2,4
2019p811385,176.841430664062,-38.0209350585938,1,3
2019p811385,176.984252929688,-37.9605102539062,2,3
2019p811385,176.962280273438,-37.9330444335938,2,4
2019p811385,176.753540039062,-37.8890991210938,1,3
2019p811385,177.083129882812,-37.9769897460938,1,3
2019p811383,176.984252929688,-37.9550170898438,6,4
2019p811383,176.995239257812,-37.9550170898438,4,3
2019p811383,177.050170898438,-37.9660034179688,2,3
2019p811383,176.863403320312,-37.9165649414062,1,4
2019p811383,177.006225585938,-37.9440307617188,1,4
2019p811383,176.841430664062,-38.0154418945312,1,3
2019p811383,176.775512695312,-37.8945922851562,1,3
2019p811383,176.874389648438,-37.9934692382812,3,3
2019p811383,176.830444335938,-37.9824829101562,2,3
2019p811383,177.039184570312,-37.9660034179688,4,3
2019p811383,176.841430664062,-37.9385375976562,1,5
2019p811383,176.995239257812,-37.9605102539062,10,4
2019p811383,176.841430664062,-37.9055786132812,1,4
2019p811383,177.083129882812,-37.9769897460938,1,3
2019p811383,176.819458007812,-37.9714965820312,2,3
2019p811383,176.995239257812,-37.9660034179688,2,4
2019p811383,176.973266601562,-37.9605102539062,6,4
2019p811383,176.940307617188,-37.9330444335938,1,4
2019p811383,176.973266601562,-37.9330444335938,14,5
2019p811383,176.984252929688,-37.9385375976562,3,3
2019p811383,176.984252929688,-37.9660034179688,1,3
2019p811383,176.907348632812,-37.9440307617188,1,3
2019p811383,176.918334960938,-37.9714965820312,1,3
2019p811383,176.984252929688,-37.9495239257812,4,5
2019p811383,176.643676757812,-37.8506469726562,1,3
2019p811383,176.973266601562,-37.9385375976562,1,4
2019p811383,177.017211914062,-37.9550170898438,6,5
2019p811383,177.006225585938,-37.9495239257812,9,4
2019p811383,177.050170898438,-37.9714965820312,1,3
2019p811383,176.863403320312,-37.9110717773438,1,3
2019p811383,176.885375976562,-37.9440307617188,5,3
2019p811383,176.973266601562,-37.9660034179688,6,3
2019p811383,176.962280273438,-37.9660034179688,2,3
2019p811383,177.083129882812,-38.0429077148438,1,3
2019p811383,177.006225585938,-37.9660034179688,1,3
2019p811383,177.006225585938,-37.9605102539062,17,3
2019p811383,176.973266601562,-37.9714965820312,2,3
2019p811383,177.006225585938,-37.9550170898438,2,3
2019p811383,177.028198242188,-37.9605102539062,4,3
2019p811383,176.863403320312,-37.9220581054688,1,3
2019p811383,176.984252929688,-37.9330444335938,1,3
2019p811383,176.852416992188,-37.9110717773438,1,4
2019p811383,170.491333007812,-45.9146118164062,1,6
2019p811383,176.830444335938,-37.9769897460938,2,3
2019p811383,176.874389648438,-37.9110717773438,2,4
2019p811383,176.995239257812,-37.9495239257812,2,4
2019p811383,176.984252929688,-37.9605102539062,2,3
2019p811383,176.962280273438,-37.9330444335938,2,4
2019p811383,176.753540039062,-37.8890991210938,1,3
2019p811382,176.984252929688,-37.9550170898438,5,4
2019p811382,176.995239257812,-37.9550170898438,4,3
2019p811382,177.050170898438,-37.9660034179688,2,3
2019p811382,176.863403320312,-37.9165649414062,1,4
2019p811382,177.006225585938,-37.9440307617188,1,4
2019p811382,176.841430664062,-38.0154418945312,1,3
2019p811382,176.775512695312,-37.8945922851562,1,3
2019p811382,176.874389648438,-37.9934692382812,3,3
2019p811382,176.830444335938,-37.9824829101562,2,3
2019p811382,177.039184570312,-37.9660034179688,4,3
2019p811382,176.841430664062,-37.9385375976562,1,5
2019p811382,176.995239257812,-37.9605102539062,10,4
2019p811382,176.841430664062,-37.9055786132812,1,4
2019p811382,177.083129882812,-37.9769897460938,1,3
2019p811382,176.995239257812,-37.9660034179688,2,4
2019p811382,176.973266601562,-37.9605102539062,6,4
2019p811382,176.940307617188,-37.9330444335938,1,4
2019p811382,176.973266601562,-37.9330444335938,14,5
2019p811382,176.984252929688,-37.9385375976562,3,3
2019p811382,176.984252929688,-37.9660034179688,1,3
2019p811382,176.907348632812,-37.9440307617188,1,3
2019p811382,176.918334960938,-37.9714965820312,1,3
2019p811382,176.984252929688,-37.9495239257812,4,5
2019p811382,176.643676757812,-37.8506469726562,1,3
2019p811382,176.973266601562,-37.9385375976562,1,4
2019p811382,177.017211914062,-37.9550170898438,6,5
2019p811382,177.006225585938,-37.9495239257812,9,4
2019p811382,177.050170898438,-37.9714965820312,1,3
2019p811382,176.863403320312,-37.9110717773438,1,3
2019p811382,176.885375976562,-37.9440307617188,5,3
2019p811382,176.973266601562,-37.9660034179688,6,3
2019p811382,176.962280273438,-37.9660034179688,2,3
2019p811382,177.083129882812,-38.0429077148438,1,3
2019p811382,177.006225585938,-37.9660034179688,1,3
2019p811382,177.006225585938,-37.9605102539062,17,3
2019p811382,176.973266601562,-37.9714965820312,2,3
2019p811382,177.006225585938,-37.9550170898438,2,3
2019p811382,177.028198242188,-37.9605102539062,4,3
2019p811382,176.863403320312,-37.9220581054688,1,3
2019p811382,176.984252929688,-37.9330444335938,1,3
2019p811382,176.852416992188,-37.9110717773438,1,4
2019p811382,170.491333007812,-45.9146118164062,1,6
2019p811382,176.830444335938,-37.9769897460938,2,3
2019p811382,176.874389648438,-37.9110717773438,2,4
2019p811382,176.995239257812,-37.9495239257812,2,4
2019p811382,176.984252929688,-37.9605102539062,2,3
2019p811382,176.962280273438,-37.9330444335938,2,4
2019p811382,176.753540039062,-37.8890991210938,1,3
2019p811381,176.984252929688,-37.9550170898438,5,4
2019p811381,176.995239257812,-37.9550170898438,4,3
2019p811381,177.050170898438,-37.9660034179688,2,3
2019p811381,176.863403320312,-37.9165649414062,1,4
2019p811381,177.006225585938,-37.9440307617188,1,4
2019p811381,176.841430664062,-38.0154418945312,1,3
2019p811381,176.775512695312,-37.8945922851562,1,3
2019p811381,176.874389648438,-37.9934692382812,3,3
2019p811381,176.830444335938,-37.9824829101562,2,3
2019p811381,177.039184570312,-37.9660034179688,4,3
2019p811381,176.841430664062,-37.9385375976562,1,5
2019p811381,176.995239257812,-37.9605102539062,10,4
2019p811381,176.841430664062,-37.9055786132812,1,4
2019p811381,177.083129882812,-37.9769897460938,1,3
2019p811381,176.995239257812,-37.9660034179688,2,4
2019p811381,176.973266601562,-37.9605102539062,6,4
2019p811381,176.940307617188,-37.9330444335938,1,4
2019p811381,176.973266601562,-37.9330444335938,14,5
2019p811381,176.984252929688,-37.9385375976562,3,3
2019p811381,176.984252929688,-37.9660034179688,1,3
2019p811381,176.907348632812,-37.9440307617188,1,3
2019p811381,176.918334960938,-37.9714965820312,1,3
2019p811381,176.984252929688,-37.9495239257812,4,5
2019p811381,176.643676757812,-37.8506469726562,1,3
2019p811381,176.973266601562,-37.9385375976562,1,4
2019p811381,177.017211914062,-37.9550170898438,6,5
2019p811381,177.006225585938,-37.9495239257812,9,4
