publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p797481,earthquake,2019-10-23T01:38:20.609Z,2019-10-23T02:03:56.656Z,167.5118103,-45.10687256,3.177527047,100.6048737,M,,LOCSAT,confirmed,manual,iasp91,29,18,8,0.3426674604,179.2277298,0.4775831031,0
2019p795678,earthquake,2019-10-22T09:37:24.070Z,2019-10-22T09:40:04.653Z,167.3844452,-45.0279007,3.954731092,65.00980377,M,,LOCSAT,confirmed,manual,iasp91,21,12,12,0.4550800622,203.6613846,0.2812842437,0
2019p793923,earthquake,2019-10-21T18:02:12.988Z,2019-10-21T18:14:14.386Z,167.6931152,-44.96019363,3.77977762,52.63277054,M,,LOCSAT,confirmed,manual,iasp91,23,18,13,0.3314274549,166.174118,0.4912905542,0
2019p791440,earthquake,2019-10-20T19:59:41.088Z,2019-10-20T20:07:33.652Z,167.5458527,-44.7079277,1.735211383,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,15,1,0.2736230195,214.8766937,0.8132288993,0
2019p788456,earthquake,2019-10-19T17:29:23.054Z,2019-10-19T17:38:49.960Z,167.3932343,-45.15038681,2.297672778,47.89624405,M,,LOCSAT,confirmed,manual,iasp91,14,9,3,0.3569646478,190.4424629,0.3018358234,0
2019p788330,earthquake,2019-10-19T16:22:27.333Z,2019-10-19T16:38:27.335Z,167.6129761,-45.01556396,2.65522292,38.22801208,M,,LOCSAT,confirmed,manual,iasp91,22,13,4,0.4084351957,177.5029449,0.3970162475,0
2019p787606,earthquake,2019-10-19T09:56:51.913Z,2019-10-19T09:58:59.047Z,167.5312805,-45.12346268,2.081756585,98.36071014,M,,LOCSAT,confirmed,manual,iasp91,21,11,7,0.4330766499,174.2315407,0.6423438576,0
2019p786889,earthquake,2019-10-19T03:34:29.549Z,2019-10-19T03:38:19.446Z,166.9254303,-46.00644302,4.833904019,83.25899506,M,,LOCSAT,confirmed,manual,iasp91,25,14,37,0.2335894853,105.4853363,0.4924754877,0
2019p785689,earthquake,2019-10-18T16:55:20.747Z,2019-10-18T17:00:55.525Z,167.3699188,-45.16806793,2.368041126,72.72937012,M,,LOCSAT,confirmed,manual,iasp91,22,15,5,0.333643049,191.6700478,0.4462207493,0
2019p785066,earthquake,2019-10-18T11:23:25.785Z,2019-10-18T12:00:02.387Z,167.5884094,-44.75116348,2.686849203,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,16,7,0.2532384992,208.1315765,0.9856137911,0
2019p777001,earthquake,2019-10-15T11:46:29.529Z,2019-10-15T12:41:21.983Z,166.2746277,-45.1266861,2.934719527,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,11,5,0.7064778805,255.6363297,0.8268294736,0
2019p776411,earthquake,2019-10-15T06:32:08.550Z,2019-10-15T07:30:55.501Z,168.7481537,-44.56574249,3.088526232,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,18,8,0.3099394739,103.8021417,0.6259318509,0
2019p775808,earthquake,2019-10-15T01:10:31.012Z,2019-10-15T01:15:29.099Z,167.3083496,-45.02705383,2.684885,84.53486633,M,,LOCSAT,confirmed,manual,iasp91,18,10,9,0.4511333108,207.5124397,0.336617068,0
2019p775334,earthquake,2019-10-14T20:58:08.235Z,2019-10-14T21:01:50.917Z,167.3085327,-45.3023262,2.356635144,39.28149796,M,,LOCSAT,confirmed,manual,iasp91,21,12,6,0.1957179308,181.2266731,0.4917310945,0
2019p775065,earthquake,2019-10-14T18:35:06.511Z,2019-10-14T18:38:30.143Z,168.2440796,-44.60279083,2.719696534,66.81695557,M,,LOCSAT,confirmed,manual,iasp91,18,11,7,0.2375166565,143.8433914,0.5425715065,0
2019p773527,earthquake,2019-10-14T04:55:38.039Z,2019-10-14T05:02:48.401Z,167.4400787,-45.2383728,2.368497665,70.77998352,M,,LOCSAT,confirmed,manual,iasp91,18,12,4,0.303417474,162.1162453,0.4520251779,0
2019p772979,earthquake,2019-10-14T00:03:27.399Z,2019-10-14T00:08:34.777Z,167.6789703,-44.63278961,1.986536934,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,10,5,0.1811855435,211.2507744,0.9015079868,0
2019p772936,earthquake,2019-10-13T23:40:19.721Z,2019-10-13T23:43:50.997Z,167.3120728,-45.14702606,2.888406497,8.175933838,M,,LOCSAT,confirmed,manual,iasp91,23,16,7,0.3368277848,183.8952293,0.6860418648,0
2019p772380,earthquake,2019-10-13T18:44:26.493Z,2019-10-13T18:48:34.883Z,168.7801361,-44.56738663,2.587828865,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,29,22,7,0.2885942161,91.55883789,0.7626774698,0
2019p772009,earthquake,2019-10-13T15:26:56.204Z,2019-10-13T15:30:44.413Z,168.2786407,-44.64376831,2.527204128,70.00496674,M,,LOCSAT,confirmed,manual,iasp91,28,18,4,0.2386826575,119.9810982,0.6524749489,0
2019p770668,earthquake,2019-10-13T03:32:21.923Z,2019-10-13T03:46:42.186Z,168.8613281,-44.52921295,2.346547282,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,12,2,0.3179572225,95.66375732,0.5142394761,0
2019p768924,earthquake,2019-10-12T12:02:59.500Z,2019-10-12T12:08:38.031Z,168.4083557,-44.28920364,1.856618262,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,7,3,0.5162727833,192.0563431,0.4383357879,0
2019p768677,earthquake,2019-10-12T09:51:26.244Z,2019-10-12T09:54:24.629Z,168.6375427,-44.5424881,2.273702475,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,3,0.3929766417,117.4979153,0.4337018946,0
2019p763069,earthquake,2019-10-10T08:03:30.871Z,2019-10-10T08:06:38.819Z,168.2366028,-44.61730957,2.629635319,63.19189072,M,,LOCSAT,confirmed,manual,iasp91,20,13,2,0.2284120917,130.6416035,0.4902700367,0
2019p762590,earthquake,2019-10-10T03:48:26.076Z,2019-10-10T03:52:41.453Z,165.880722,-46.74973679,3.201865198,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,8,2,1.450771689,301.0141449,1.312318819,0
2019p762034,earthquake,2019-10-09T22:51:58.510Z,2019-10-09T22:55:58.213Z,166.613739,-44.69240189,2.998181573,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,12,4,0.8618121147,266.2073135,0.6814293952,0
2019p761823,earthquake,2019-10-09T20:59:17.950Z,2019-10-09T23:32:06.991Z,167.4144745,-45.02078247,1.988351801,91.95399475,M,,LOCSAT,confirmed,manual,iasp91,17,11,2,0.4807007909,202.5721817,0.3780367437,0
2019p760286,earthquake,2019-10-09T07:20:44.745Z,2019-10-09T07:23:55.153Z,167.2914581,-45.30692291,3.260464047,106.1007233,M,,LOCSAT,confirmed,manual,iasp91,13,9,8,0.1853341013,184.0596085,0.1389299453,0
2019p754939,earthquake,2019-10-07T07:51:31.273Z,2019-10-07T07:57:09.194Z,165.7670746,-47.27234268,3.082417227,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,13,6,1.272565126,313.8338013,0.9944058231,0
2019p754243,earthquake,2019-10-07T01:41:03.689Z,2019-10-07T01:44:16.897Z,167.5098877,-44.33640671,2.378388474,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,7,5,0.4497836232,241.9126129,0.541622132,0
2019p753618,earthquake,2019-10-06T20:08:06.081Z,2019-10-06T20:11:40.531Z,167.4333801,-45.21533966,2.296323864,58.49938583,M,,LOCSAT,confirmed,manual,iasp91,15,10,5,0.3180402517,174.7761765,0.4662757834,0
2019p751628,earthquake,2019-10-06T02:27:46.906Z,2019-10-06T02:32:15.720Z,167.4993286,-45.07440186,2.103931564,98.6256485,M,,LOCSAT,confirmed,manual,iasp91,20,14,4,0.460413903,185.3741722,0.6352115402,0
2019p751482,earthquake,2019-10-06T01:09:39.138Z,2019-10-06T01:14:55.970Z,167.7619476,-44.55644226,2.387701331,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,14,3,0.1656913161,204.2549973,0.9317554771,0
2019p748613,earthquake,2019-10-04T23:41:23.379Z,2019-10-04T23:45:55.046Z,167.2311096,-45.23572922,2.871120021,33.65817642,M,,LOCSAT,confirmed,manual,iasp91,25,20,7,0.2354415059,181.3843231,0.590070498,0
